日期,開盤價,最高價,最低價,收盤價,成交量
113/06/12,277.00,277.00,273.00,274.50,"16,850"
113/06/11,276.50,279.50,274.00,274.50,"18,150"
113/06/07,278.00,280.00,271.00,273.00,"26,483"
113/06/06,284.00,285.00,278.00,279.50,"18,790"
113/06/05,278.00,281.00,274.50,276.50,"14,810"
113/06/04,283.00,284.50,273.00,275.00,"27,723"
113/06/03,279.00,288.50,278.00,282.50,"28,299"
113/05/31,281.50,282.50,274.00,274.00,"37,477"
113/05/30,286.00,287.00,281.00,281.50,"18,805"
113/05/29,290.50,297.00,287.00,287.00,"30,632"
113/05/28,293.50,294.00,288.00,289.50,"28,313"
113/05/27,290.00,295.00,288.00,293.50,"40,649"
113/05/24,283.00,289.00,282.50,286.50,"21,741"
113/05/23,287.00,293.00,282.50,284.00,"29,979"
113/05/22,282.50,286.00,280.00,285.50,"21,742"
113/05/21,282.50,286.50,280.50,282.00,"18,882"
113/05/20,287.50,287.50,279.50,282.00,"24,611"
113/05/17,279.50,289.00,279.50,286.00,"47,020"
113/05/16,290.50,292.00,276.50,277.00,"82,036"
113/05/15,288.00,295.00,285.50,287.00,"63,171"
